,,,,,,,,,,,,,,,,,,,,,,,,,
,"1 AD","1 CD","1 ID","2 ID","3 ID","4 ID","10 MTN","25 ID","82 ABN","101 AA","USAREUR","USARPAC","SOCOM","INSCOM","CIDCOM","TRADOC","FORCSCOM","FIRES BDE","SUST BDE","MNVR ENH","AVIATION","MEDCOM","USACE","USAMC","USAIMCOM"
,"1-41 IN","3-8 CAV","6-4 CAV","2-3 IN","3-15 IN","1-68 AR","2-87 IN","23rd BSTB","2-505 PIR","2-187 in (AA)","170th BSTB",,"3 GSB (SO)(A)","524th MI BN",,,,"168th BSB","15th SB","11th EN BN",,,,,
,"1-1 CAV","1-12 CAV","1-6 FA","5-20 IN","3-1 CAV","4-10 CAV","3-71 CAV","2-27 IN","5-73 CAV","3-187 IN (AA)","4-70 AR",,"5 SFG (A)","527th MI BN",,,,"18th FIRES BDE (AA)","49th TRANS","130th EN BDE",,,,,
,"4-1 FA","2-82 FA","201 BSB","1-23 IN","1-10 FA","3-29 FA","4-25 FA","2-35 IN","1-319 FA (A)","3-320 FA (AA)","2-18 IN",,"5 GSTB (SO)(A)","532nd MI BN",,,,"1-321 FA (M777)(A)","180th TRANS","54th EN BN",,,,,
,"125 BSB","215 BSB","4/1 ID","1-14 CAV","203 BSB","64 BSB","710 BSB","3-4 CAV","82 BSB","1-33 CAV (AA)","3-4 IN",,"1/5 SF (A)","3rd MI BN",,,,"2-321 FA (M777)(A)","16th SB","94th EN BN",,,,,
,"4/1 AD","4/1 CD","4th BSTB","1-37 FA","4/3 ID","4/4 ID","4/10 MTN","3-7 FA","27th BSB (A)","626 BSB (AA)","1-84 FA",,"2/5 SF (A)","513th MI BDE (CENT)",,,,"3-321 FA (M777)(A)","391st CSSB","565th EN BN",,,,,
,"36th BSTB","40th BSTB","2-16 IN","296 BSB","12th BSTB","16th BSTB","20th BSTB","325 BSB","4/82 ABN","4/101 AA","40th EN",,"3/5 SF (A)","202nd MI BN",,,,"3-27 FA (HIMARS)(A)","18th CSSB","65th EN BN",,,,,
,"2-34 AR","1-9 CAV","1-28 IN","4/2 ID","4-64 AR","1-12 IN","2-4 IN","4/25 ID (A)","28th BSTB (A)","32nd BSTB","24th BSB",,"5 GSB (SO)(A)","297th MI BN",,,,"188th BSB (AA)","43rd SB","84th EN BN",,,,,
,"2-6 IN","2-7 CAV","1-4 CAV","8th BSTB","3-7 IN","2-12 IN","2-30 IN","24th BSTB (A)","1-508 PIR","1-506 IN (AA)","172nd IN BDE",,"7 SFG (A)","650th MI BDE (EUR/NATO)",,,,"17th FIRES BDE (AA)","68th CSSB*","555th MEB",,,,,
,"2-13 CAV","2-12 CAV","2-32 FA","4-9 IN","6-8 CAV","3-61 CAV","3-89 CAV","1-501 IN (A)","2-508 PIR","2-506 IN (AA)","172nd BSTB",,"7 GSTB (SO)(A)","704th MI BDE",,,,"5-3 FA (HIMARS) (AA)","45th SB","1st EN BN",,,,,
,"2-29 FA","5-82 FA","701 BSB","2-23 IN","1-76 FA","2-77 FA","5-25 FA","3-509 IN (A)","4-73 CAV (A)","1-61 CAV (AA)","3-66 AR",,"1/7 SF (A)","741st MI BN",,,,"3-94 FA (HIMARS) (AA)","82nd SB","4th EN BN",,,,,
,"121 BSB","27 BSB","1st AVN BDE","1-38 IN","703 BSB","704 BSB","94 BSB","1-40 CAV (A)","2-321 FA (A)","4-320 FA (AA)","1-2 IN",,"2/7 SF (A)","742nd MI BN",,,,"1-377 FA (HIMARS) (AA) ","264th CSSB","5th EN BN",,,,,
,"6th AVN BDE","5th AVN BDE","43rd BSTB","2-1 CAV","3rd AVN BDE","4th AVN BDE","10th AVN BDE","2-377 FA (A)","782 BSB","801 BSB (AA)","2-28 IN",,"3/7 SF (A)","743rd MI BN",,,,"308th BSB (AA)","101st SB","14th EN BN",,,,,
,"41st BSTB","42nd BSTB","1-1 AVN (ASLT)","2-12 FA","45th BSTB","46th BSTB","47th BSTB","725 BSB (A)","82nd AVN BDE (A)","101st AVN BDE (AA)","1-77 FA",,"7 GSB (SO)(A)","902nd MI BDE (USA)",,,,,"129th CSSB","94th EN BN",,,,,
,"1-501 AVN (ASLT)","1-227 AVN (ASLT)","2-1 AVN (ATK)","702 BSB","1-3 AVN (ASLT)","1-4 AVN (ASLT)","1-10 AVN (ASLT)","25th AVN BDE","49th BSTB (A)","50th BSTB (AA)","9th EN BN",,"10 SFG (A)","1st IO CMD (LND)",,,,,"501st SB","864th EN BN",,,,,
,"2-501 AVN (ATK)","2-227 AVN (ATK)","3-1 AVN (LFT)","2nd AVN BDE","2-3 AVN (ATK)","2-4 AVN (ATK)","2-10 AVN (ATK)","48th BSTB","1-82 AVN (ASLT)(A)","1-101 AVN (ASLT)(AA)","172nd BSB",,"10 GSTB (SO)(A)","AOA",,,,,"194th CSSB",,,,,,
,"3-501 AVN (LFT)","3-227 AVN (LFT)","1-6 CAV (ISR/SPEC)","44th BSTB","3-3 AVN (LFT)","3-4 AVN (LFT)","3-10 AVN (LFT)","2-6 CAV (ASLT)","2-17 CAV (ATK)(A)","2-101 AVN (ATK)(AA)",,,"1/10 SF (A)","CCF",,,,,"498th CSSB","MP BDE",,,,,
,"4-501 AVN (ISR/SPEC)","4-227 AVN (ISR/SPEC)","601th ASB","1-2 AVN (ASLT)","4-3 AVN (ISR/SPEC)","4-4 AVN (ISR/SPEC)","6-6 CAV (ISR/SPEC)","2-25 AVN (ATK)","3-82 AVN (LFT)(A)","3-101 AVN (LFT)(AA)",,,"2/10 SF (A)","JSTARS",,,,,"507th SB","8th MP BDE",,,,,
,"127th ASB","615th ASB",,"2-2 AVN (ATK)","3-17 CAV","4th ASB","277th ASB","3-25 AVN (LFT)","4-82 AVN (ISR/SPEC)(A)","4-101 AVN (ISR/SPEC)(AA)",,,"3/10 SF (A)","NGIC",,,,,"593rd SB","793rd MP BN",,,,,
,"5/1 AD",,,"3-2 AVN (LFT)","603th ASB",,,"6-17 CAV (ISR/SPEC)","122nd ASB","5-101 AVN (LFT) (AA)",,,"10 GSB (SO)(A)","201st BFSB",,,,,"80th ORD","42nd MP BDE",,,,,
,"51 BSTB",,,"4-2 AVN (ISR/SPEC)",,,,"209th ASB",,"6-101 AVN (ASLT) (AA)",,,"160 SOAR","109th MI BN",,,,,"57th TRANS","504th MP BN",,,,,
,"AR BN",,,"602th ASB",,,,,,"2-17 CAV",,,"160 RSTB (A)","250th MI BN",,,,,,"508th MP BN",,,,,
,"IN BN",,,,,,,,,"96th ASB",,,"1-160 AVN (A)","502nd MI BN",,,,,,"89th MP BDE",,,,,
,"CAV SQ",,,,,,,,,"7-17 CAV",,,"2-160 AVN (A)","504th BFSB",,,,,,"720th MP BN",,,,,
,"FA BN",,,,,,,,,"563rd ASB",,,"3-160 AVN (A)","15th MI BN",,,,,,"92nd MP BN",,,,,
,"BSB",,,,,,,,,,,,"4-160 AVN (A)","163rd MI BN",,,,,,"93rd MP BN",,,,,
,"6/1 AD",,,,,,,,,,,,"160 RSB (A)","303rd MI BN",,,,,,"97th MP BN",,,,,
,,,,,,,,,,,,,"4th PSYOP BDE (A)","525th BFSB",,,,,,,,,,,
,,,,,,,,,,,,,"4 PSY BSTB","319th MI BN",,,,,,,,,,,
,,,,,,,,,,,,,"1st PSY BN (A) (SOU)","519th MI BN",,,,,,,,,,,
,,,,,,,,,,,,,"3rd PSY BN (A) (DISSEM)","1-38 CAV (RSTA)",,,,,,,,,,,
,,,,,,,,,,,,,"5th PSY BN (A) (PAC)",,,,,,,,,,,,
,,,,,,,,,,,,,"6th PSY BN (A) (EUR)",,,,,,,,,,,,
,,,,,,,,,,,,,"8th PSY BN (A) (CENT)",,,,,,,,,,,,
,,,,,,,,,,,,,"9th PSY BN (A) (TAC)",,,,,,,,,,,,
,,,,,,,,,,,,,"95th CA BDE",,,,,,,,,,,,
,,,,,,,,,,,,,"96th CA BN (A) (CENT)",,,,,,,,,,,,
,,,,,,,,,,,,,"98th CA BN (A) (SOUTH)",,,,,,,,,,,,
,,,,,,,,,,,,,"97th CA BN (A) (PAC)",,,,,,,,,,,,
,,,,,,,,,,,,,"91st CA BN (A) (AFRI)",,,,,,,,,,,,
,,,,,,,,,,,,,"SOSC",,,,,,,,,,,,
,,,,,,,,,,,,,"SOTSE-SOUTH",,,,,,,,,,,,
,,,,,,,,,,,,,"SOTSE-EUR",,,,,,,,,,,,
,,,,,,,,,,,,,"SOTSE-CENT",,,,,,,,,,,,
,,,,,,,,,,,,,"SOTSE-PAC",,,,,,,,,,,,
,,,,,,,,,,,,,"SOTSE-AFRI",,,,,,,,,,,,
,,,,,,,,,,,,,"SOC-MMC",,,,,,,,,,,,
,,,,,,,,,,,,,"528th SPT BN (SO)(A)",,,,,,,,,,,,
,,,,,,,,,,,,,"112th SIG BN (SO)(A)",,,,,,,,,,,,
